timestamp,station_id,speed_mph,flow_veh_5min,occupancy_fraction,observed_percent,latitude,longitude,freeway,direction,lane_type
2014-05-01T00:00:00-07:00,760063,67.7,157,.0491,0,33.929816,-118.373757,105,E,ML
2014-05-01T00:00:00-07:00,760074,71.9,177,.0339,100,33.933294,-118.351898,105,E,ML
2014-05-01T00:00:00-07:00,760080,71.2,199,.0453,100,33.930073,-118.344285,105,E,ML
2014-05-01T00:00:00-07:00,767838,70.3,143,.0427,100,33.931513,-118.361927,105,E,ML
2014-05-01T00:00:00-07:00,773656,68.2,138,.0313,100,33.933059,-118.356686,105,E,ML
2014-05-01T00:05:00-07:00,760063,69.5,195,.0608,0,33.929816,-118.373757,105,E,ML
2014-05-01T00:05:00-07:00,760074,69.9,200,.042,100,33.933294,-118.351898,105,E,ML
2014-05-01T00:05:00-07:00,760080,71.2,248,.057,100,33.930073,-118.344285,105,E,ML
2014-05-01T00:05:00-07:00,767838,72.5,194,.0577,100,33.931513,-118.361927,105,E,ML
2014-05-01T00:05:00-07:00,773656,68.2,198,.0461,100,33.933059,-118.356686,105,E,ML
2014-05-01T00:10:00-07:00,760063,70.7,185,.0551,0,33.929816,-118.373757,105,E,ML
2014-05-01T00:10:00-07:00,760074,70.7,253,.0494,100,33.933294,-118.351898,105,E,ML
2014-05-01T00:10:00-07:00,760080,71.6,296,.067,100,33.930073,-118.344285,105,E,ML
2014-05-01T00:10:00-07:00,767838,74.6,182,.0502,100,33.931513,-118.361927,105,E,ML
2014-05-01T00:10:00-07:00,773656,68.8,196,.0451,100,33.933059,-118.356686,105,E,ML
2014-05-01T00:15:00-07:00,760063,70.3,162,.0497,0,33.929816,-118.373757,105,E,ML
2014-05-01T00:15:00-07:00,760074,71.6,211,.0398,100,33.933294,-118.351898,105,E,ML
2014-05-01T00:15:00-07:00,760080,71.7,235,.0532,100,33.930073,-118.344285,105,E,ML
2014-05-01T00:15:00-07:00,767838,74,141,.0401,100,33.931513,-118.361927,105,E,ML
2014-05-01T00:15:00-07:00,773656,68.9,158,.0369,100,33.933059,-118.356686,105,E,ML
