source_station_id,target_station_id,distance_miles,method
760063,767838,0.700000,same_route_direction_lane_type_postmile_order
767838,773656,0.320000,same_route_direction_lane_type_postmile_order
773656,760074,0.280000,same_route_direction_lane_type_postmile_order
760074,760080,0.500000,same_route_direction_lane_type_postmile_order
